date,or_size_pct,or_close_position,breakout_dir,breakout_minute,vol_ratio,mfe_pre_retest_pct,mins_to_retest,outcome_60min,outcome_120min,outcome_cierre,mins_resolution
2018-10-17,0.9923,0.3712,down,30,1.0809,0.2663,26.0,continuacion,continuacion,continuacion,12.0
2018-10-18,0.5922,0.4221,down,30,1.2056,0.2278,16.0,neutro,continuacion,continuacion,62.0
2018-10-19,0.7056,0.9512,up,15,0.99,0.2848,28.0,neutro,falla,falla,83.0
2018-10-22,0.6521,0.1415,down,21,1.0885,0.4901,22.0,falla,falla,falla,35.0
2018-10-23,0.694,0.4488,down,31,0.8904,0.7992,47.0,neutro,falla,falla,98.0
2018-10-24,0.505,0.2526,down,18,0.8623,0.2087,3.0,continuacion,continuacion,continuacion,9.0
2018-10-26,1.181,0.9949,up,15,0.9744,0.3524,6.0,falla,falla,falla,16.0
2018-10-30,1.0932,0.8645,up,20,0.8987,1.0625,46.0,neutro,continuacion,continuacion,73.0
2018-10-31,0.6053,0.9412,up,15,0.9498,0.7958,78.0,neutro,neutro,continuacion,137.0
2018-11-01,0.5423,0.7058,up,20,0.9355,0.3983,88.0,continuacion,continuacion,continuacion,41.0
2018-11-05,1.0058,0.0355,down,15,1.0177,0.2031,20.0,continuacion,continuacion,continuacion,5.0
2018-11-06,1.1013,0.9199,up,15,0.9608,0.246,14.0,neutro,neutro,falla,267.0
2018-11-07,0.6517,0.5536,up,32,0.7843,0.2203,17.0,continuacion,continuacion,continuacion,7.0
2018-11-09,0.663,0.1849,down,39,0.751,0.308,26.0,continuacion,continuacion,continuacion,30.0
2018-11-12,1.1315,0.1257,down,18,1.065,0.2786,19.0,continuacion,continuacion,continuacion,13.0
2018-11-13,0.8265,0.3555,down,29,0.8852,0.4189,8.0,falla,falla,falla,55.0
2018-11-15,1.0356,0.9524,down,60,0.6503,0.4392,10.0,falla,falla,falla,44.0
2018-11-16,0.5369,0.4371,up,16,1.1406,0.8454,95.0,neutro,continuacion,continuacion,86.0
2018-11-20,1.0956,0.959,up,16,1.1263,0.9334,95.0,continuacion,continuacion,continuacion,24.0
2018-11-21,0.8347,0.3664,down,20,1.0399,0.2672,2.0,neutro,falla,falla,87.0
2018-11-23,0.8241,0.878,up,16,0.9873,0.2743,14.0,neutro,neutro,neutro,
2018-11-26,0.51,0.8061,up,15,1.2916,0.4956,38.0,neutro,neutro,falla,132.0
2018-11-27,0.8196,0.4391,up,28,0.7593,0.6523,44.0,continuacion,continuacion,continuacion,21.0
2018-11-28,0.4025,0.1664,down,15,1.1444,0.3167,84.0,falla,falla,falla,51.0
2018-11-29,0.4592,0.5714,down,18,1.2681,0.2392,42.0,continuacion,continuacion,continuacion,14.0
2018-11-30,0.5379,0.3785,up,60,0.8222,0.3266,30.0,neutro,neutro,continuacion,256.0
2018-12-03,0.6453,0.2529,down,17,0.9116,0.3944,16.0,continuacion,continuacion,continuacion,58.0
2018-12-10,1.0751,0.9359,down,23,1.2322,0.2913,2.0,continuacion,continuacion,continuacion,49.0
2018-12-11,0.4613,0.749,down,40,1.0159,0.3031,9.0,continuacion,continuacion,continuacion,31.0
2018-12-13,0.6462,0.4299,down,24,0.6795,0.2241,51.0,continuacion,continuacion,continuacion,2.0
2018-12-14,0.542,0.5011,up,17,1.0381,0.2028,19.0,continuacion,continuacion,continuacion,10.0
2018-12-21,0.5237,0.25,down,15,1.1161,0.3797,15.0,continuacion,continuacion,continuacion,1.0
2018-12-24,1.1893,0.0231,down,15,1.2555,0.8738,26.0,falla,falla,falla,29.0
2018-12-26,0.5635,0.0865,down,15,0.9945,0.2196,3.0,continuacion,continuacion,continuacion,3.0
2018-12-27,0.9408,0.3624,down,18,0.7419,0.3069,3.0,continuacion,continuacion,continuacion,1.0
2018-12-31,0.5,0.5979,down,20,0.9907,0.2335,7.0,continuacion,continuacion,continuacion,17.0
2019-01-02,0.7092,0.8869,up,15,1.1492,0.2106,6.0,continuacion,continuacion,continuacion,5.0
2019-01-03,0.7303,0.396,down,16,0.9993,0.3287,10.0,continuacion,continuacion,continuacion,4.0
2019-01-04,0.8443,0.8907,up,15,0.7909,0.3784,31.0,continuacion,continuacion,continuacion,6.0
2019-01-10,0.4213,0.1791,down,17,0.8224,0.2201,12.0,falla,falla,falla,23.0
2019-01-14,0.4799,0.6189,up,49,0.9872,0.3578,59.0,continuacion,continuacion,continuacion,20.0
2019-01-15,0.8762,0.9857,up,15,0.9798,0.217,7.0,continuacion,continuacion,continuacion,8.0
2019-01-16,0.4498,0.9042,up,15,0.7904,0.3063,15.0,falla,falla,falla,40.0
2019-01-17,0.3906,0.9049,up,16,0.7144,0.3823,33.0,continuacion,continuacion,continuacion,58.0
2019-01-22,0.3117,0.3922,down,17,0.7597,0.2023,8.0,continuacion,continuacion,continuacion,11.0
2019-01-24,0.4066,0.5455,up,15,0.9958,0.27,50.0,falla,falla,falla,37.0
2019-01-28,0.4876,0.3047,down,17,0.3233,0.2096,2.0,continuacion,continuacion,continuacion,3.0
2019-01-30,0.3736,0.3607,down,29,0.5063,0.2566,15.0,neutro,falla,falla,115.0
2019-02-01,0.604,0.8208,up,15,0.8589,0.2081,45.0,neutro,neutro,falla,215.0
2019-02-04,0.3108,0.2115,up,17,0.8307,0.2264,14.0,continuacion,continuacion,continuacion,10.0
2019-02-05,0.6077,0.9806,up,22,0.8534,0.222,78.0,neutro,neutro,continuacion,250.0
2019-02-06,0.3931,0.3443,down,30,1.1417,0.5566,40.0,neutro,neutro,neutro,
2019-02-11,0.4508,0.092,down,15,0.8481,0.3377,97.0,neutro,neutro,continuacion,142.0
2019-02-12,0.4259,0.9445,up,15,0.858,0.2176,58.0,continuacion,continuacion,continuacion,12.0
2019-02-13,0.3913,0.5678,down,40,0.6896,0.3027,113.0,neutro,neutro,continuacion,224.0
2019-02-14,0.4187,0.6343,up,25,0.9836,0.4046,42.0,neutro,continuacion,continuacion,98.0
2019-02-21,0.4557,0.0525,down,15,1.1236,0.4084,79.0,neutro,falla,falla,89.0
2019-02-26,0.371,0.936,up,22,1.0507,0.2652,58.0,continuacion,continuacion,continuacion,26.0
2019-02-27,0.3413,0.7458,down,25,0.634,0.66,93.0,neutro,falla,falla,115.0
2019-03-05,0.2411,0.3595,down,15,1.0312,0.2871,15.0,falla,falla,falla,52.0
2019-03-07,0.4933,0.0588,down,15,1.0285,0.5867,106.0,neutro,neutro,continuacion,187.0
2019-03-08,0.3077,0.4818,up,16,0.8796,0.2355,48.0,continuacion,continuacion,continuacion,9.0
2019-03-21,0.1555,0.8577,up,15,1.1605,0.3149,45.0,continuacion,continuacion,continuacion,28.0
2019-03-22,0.3319,0.3983,down,15,1.0493,0.2163,10.0,continuacion,continuacion,continuacion,5.0
2019-03-25,0.2882,0.4129,up,19,0.835,0.5231,71.0,neutro,falla,falla,109.0
2019-03-29,0.2799,0.0619,down,15,1.2289,0.2235,15.0,falla,falla,falla,31.0
2019-04-10,0.2553,0.9151,up,71,0.6599,0.2,81.0,neutro,neutro,continuacion,187.0
2019-04-17,0.2941,0.3085,down,24,0.7934,0.395,32.0,neutro,continuacion,continuacion,69.0
2019-04-18,0.2615,0.2638,down,23,1.2414,0.2626,19.0,continuacion,continuacion,continuacion,9.0
2019-04-25,0.4312,0.341,down,42,1.1798,0.4938,33.0,neutro,neutro,neutro,
2019-04-26,0.6349,0.2092,down,17,0.8482,0.2275,16.0,neutro,neutro,falla,297.0
2019-04-30,0.3913,0.8095,down,57,0.9818,0.4765,83.0,neutro,neutro,neutro,
2019-05-02,0.3823,0.7226,up,24,0.7628,0.2747,34.0,falla,falla,falla,52.0
2019-05-06,0.8948,0.982,up,15,0.8362,0.2972,61.0,continuacion,continuacion,continuacion,5.0
2019-05-07,0.4425,0.4826,down,18,1.3169,0.3035,7.0,continuacion,continuacion,continuacion,6.0
2019-05-08,0.627,0.6991,up,16,0.7864,0.5323,107.0,neutro,neutro,neutro,
